Legislatura,Total de iniciativas turnadas a la comisi¢n de cultura y cinematograf¡a para la legislatura,Total de iniciativas de la legislatura,Porcentaje
LX,14,2852,0.49
LXI,23,3631,0.633
LXII,31,3494,0.887
