Anio,Total-por-fecha-de-ingreso,Total por fecha de egreso,CjR01 Relacion resueltos - recibidos
2010,0,0,0.00%
2011,4,1,25.00%
2012,5,4,80.00%
2013,66,21,31.80%
2014,80,110,137.50%
2015,37,47,127.00%
2016,53,62,116.90%
